Время;Температура охлаждающей жидкости (°C);Соотношение воздух/топливо;Положение дроссельной заслонки (%);Обороты двигателя (об/мин);Обороты холостого хода (об/мин);Желаемое положение регулятора холостого хода (шаг);Текущее положение регулятора ХХ (шаг);Коэффициент коррекции длительности впрыска топлива;Угол опережения зажигания (°ПКВ);Скорость автомобиля (км\ч);Напряжение бортсети (В);Желаемые обороты холостого хода (об\мин);Напряжение на датчике кислорода (В);Длительность импульса впрыска (мсек);Массовый расход воздуха (кг\ч);Цикловой расход воздуха (мг\такт);Часовой расход топлива (л\час);Путевой расход топлива (л\100км);Контрольная сумма ПЗУ (hех);Флаг готовности датчика кислорода;Флаг разрешения нагрева датчика кислорода;Флаг комплектации датчиком кислорода;Флаг комплектации адсорбером;Флаг комплектации клапаном рециркуляции;Флаг комплектации датчиком температуры воздуха;Флаг комплектации датчиком детонации;Флаг комплектации датчиком фазы;Флаг запрещения отсечки топлива;Флаг разрешения адаптации уставки холостого хода;Флаг комплектации потенциометром корректировки СО;Флаг разрешения адаптации нуля дросселя;Флаг разрешения асинхронной подачи топлива на пуске;Флаг разрешения постоянного хранения ошибок;Флаг комплектации датчиком скорости автомобиля;Флаг разрешения одновременного впрыска;Флаг разрешения асинхронного впрыска при ускорении;Флаг выключения двигателя;Флаг холостого хода;Флаг обогащения по мощности;Флаг блокировки подачи топлива;Флаг зоны регулирования по датчику кислорода;Флаг попадания в зону детонации;Флаг продувки адсорбера;Флаг сохранения результатов обучения по датчику кислорода;Флаг наличия холостого хода в прошлом цикле вычислений;Флаг разрешения блокировки выхода из режима холостого хода;Флаг попадания в зону детонации в прошлом цикле вычислений;Флаг продувки адсорбера в прошлом цикле вычислений;Флаг Обнаружена детонация;Флаг прошлого состояния датчика кислорода;Флаг текущего состояния датчика кислорода;Флаг Ошибка датчика синхронизации КВ;Флаг ошибка EEPROM;Флаг Ошибка нагревателя датчика кислорода;Флаг Ошибка датчика фазы;Флаг ошибка сброса процесора;Флаг ошибка ОЗУ;Флаг ошибка ПЗУ;Флаг Низкое бортовое напряжение;Флаг Низкий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Низкий уровень сигнала с кислородного датчика;Флаг Низкий уровень сигнала датчика положения дроссельной заслонки;Флаг Низкий уровень сигнала датчика массового расхода воздуха;Флаг Низкий уровень шума двигателя;Флаг Высокое бортовое напряжение;Флаг Высокий уровень сигнала с кислородного датчика;Флаг Высокий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Высокий уровень сигнала датчика положения дроссельной заслонки;Флаг Высокий уровень сигнала датчика массового расхода воздуха;Флаг Высокий уровень шума двигателя;Флаг Обрыв датчика детонации;Флаг Нет связи с иммобилайзером;Флаг Нет активности датчика кислорода;Флаг Нет отклика датчика кислорода при обеднении;Флаг Нет отклика датчика кислорода при обогащении;Флаг Ошибка датчика скорости;Флаг Ошибка регулятора холостого хода;АЦП канала датчика детонации (В);АЦП Датчик температуры охлаждающей жидкости (В);АЦП Датчик массового расхода воздуха (В);АЦП Бортовое напряжение (В);АЦП Датчик кислорода (В);АЦП Датчик положения дроссельной заслонки (В);Время (сек)
35.75;81;14;0;1000;980;37;37;1;11;0;13.85;900;0.859;03.июн;10.авг;93.2;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;690.5
35.76;81;14;0;960;960;37;37;1;11;0;13.85;900;0.859;3.576;11;92.7;0.98;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;690.6
35.77;81;14;0;840;840;38;38;1;20;0;13.85;900;0.859;3.848;11.апр;99.5;0.92;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;690.8
35.78;81;14;0;920;920;39;39;1;12;0;13.85;900;0.84;мар.92;11.фев;101.8;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;690.9
35.79;81;14;0;920;920;39;39;1;12;0;13.85;900;0.84;мар.92;11.фев;101.8;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;691.2
35.8;81;14;0;920;920;39;39;1;12;0;13.85;900;0.84;мар.92;11.фев;101.8;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;691.3
35.81;81;14;0;920;920;39;39;1;12;0;13.85;900;0.84;мар.92;11.фев;101.8;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;691.8
35.82;81;14;0;920;910;37;37;1;13;0;13.85;900;0.801;3.896;11.мар;101;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;691.9
35.83;81;14;0;920;910;37;37;1;13;0;13.85;900;0.801;3.896;11.мар;101;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;692.2
35.84;81;14;0;920;910;37;37;1;13;0;13.85;900;0.801;3.896;11.мар;101;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;692.3
35.85;81;14;0;920;910;37;37;1;13;0;13.85;900;0.801;3.896;11.мар;101;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;692.8
35.86;81;14;0;880;890;37;37;1;15;0;13.85;900;0.781;3.944;11.фев;102.3;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;693
35.87;81;14;0;920;920;37;37;1;12;0;13.85;900;0.801;3.904;11.фев;101.2;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;693.1
35.88;81;14;0;920;920;37;37;1;12;0;13.85;900;0.801;3.904;11.фев;101.2;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;693.4
35.89;81;14;0;920;920;37;37;1;12;0;13.85;900;0.801;3.904;11.фев;101.2;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;693.5
35.9;81;14;0;920;920;37;37;1;12;0;13.85;900;0.801;3.904;11.фев;101.2;01.фев;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;694
35.91;81;14;0;920;940;37;37;1;11;0;13.85;900;0.82;мар.84;11;99.3;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;694.1
35.92;81;14;0;960;970;35;35;1;11;0;13.85;900;0.84;3.648;10.июл;94.5;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;694.3
35.93;81;14;0;960;960;35;35;1;11;0;13.85;900;0.859;3.568;11.янв;92.3;0.98;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;694.4
35.94;81;14;0;960;960;35;35;1;11;0;13.85;900;0.859;3.568;11.янв;92.3;0.98;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;694.7
35.95;81;14;0;960;960;35;35;1;11;0;13.85;900;0.859;3.568;11.янв;92.3;0.98;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;694.8
35.96;81;14;0;960;960;35;35;1;11;0;13.85;900;0.859;3.568;11.янв;92.3;0.98;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;695.3
35.97;81;14;0;880;890;35;35;1;15;0;13.85;900;0.82;3.744;10.сен;96.8;0.94;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;695.4
35.98;81;14;0;880;900;35;35;1;14;0;13.85;900;0.801;3.848;10.сен;99.5;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;695.6
35.99;81;14;0;920;920;35;35;1;12;0;13.85;900;0.82;3.816;10.авг;98.5;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;695.7
36;81;14;0;920;920;35;35;1;12;0;13.85;900;0.82;3.816;10.авг;98.5;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;696
36.01;81;14;0;920;920;35;35;1;12;0;13.85;900;0.82;3.816;10.авг;98.5;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;696.1
36.02;81;14;0;920;920;35;35;1;12;0;13.85;900;0.82;3.816;10.авг;98.5;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;696.6
36.03;81;14;0;920;900;35;35;1;14;0;13.85;900;0.801;3.816;10.июл;98.5;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;696.7
36.04;81;14;0;880;890;35;35;1;15;0;13.85;900;0.781;мар.84;10.июл;99.2;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;696.9
36.05;81;14;0;880;890;35;35;1;15;0;13.85;900;0.801;3.816;10.июл;98.7;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;697
36.06;81;14;0;880;890;35;35;1;15;0;13.85;900;0.801;3.816;10.июл;98.7;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;697.3
36.07;81;14;0;880;890;35;35;1;15;0;13.85;900;0.801;3.816;10.июл;98.7;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;697.4
36.08;81;14;0;880;890;35;35;1;15;0;13.85;900;0.801;3.816;10.июл;98.7;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;697.9
36.09;81;14;0;920;940;35;35;1;11;0;13.85;900;0.801;3.712;11;95.5;0.98;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;698
36.1;81;14;0;920;910;35;35;1;13;0;13.85;900;0.859;3.696;10.июн;95.2;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;698.2
36.11;81;14;0;880;900;35;35;1;14;0;13.85;900;0.859;мар.76;10.авг;97.2;0.94;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;698.3
36.12;81;14;0;840;860;35;35;1;18;0;13.85;900;0.859;3.872;11.янв;100.3;0.92;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;698.5
36.13;81;14;0;880;900;35;35;1;14;0;13.85;900;0.84;3.936;10.сен;102.2;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;698.6
36.14;81;14;0;880;860;35;35;1;18;0;13.85;900;0.84;мар.92;10.авг;101.7;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;698.7
36.15;81;14;0;880;860;35;35;1;18;0;13.85;900;0.84;мар.92;10.авг;101.7;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;699
36.16;81;14;0;880;860;35;35;1;18;0;13.85;900;0.84;мар.92;10.авг;101.7;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;699.1
36.17;81;14;0;880;860;35;35;1;18;0;13.85;900;0.84;мар.92;10.авг;101.7;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;699.6
36.18;81;14;0;880;900;36;36;1;14;0;13.85;900;0.801;3.744;10.авг;96.7;0.94;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;699.8
36.19;81;14;0;880;880;36;36;1;16;0;13.85;900;0.801;3.784;10.сен;97.8;0.94;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;699.9
36.2;81;14;0;920;900;36;36;1;14;0;13.85;900;0.801;3.792;10.июн;98.2;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;700
36.21;81;14;0;880;890;36;36;1;15;0;13.85;900;0.801;3.816;10.сен;98.5;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;700.2
36.22;81;14;0;880;900;36;36;1;14;0;13.85;900;0.801;3.824;10.авг;99;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;700.3
36.23;81;14;0;920;930;36;36;1;11;0;13.85;900;0.801;3.808;10.сен;98.3;1;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;700.5
36.24;81;14;0;880;890;36;36;1;15;0;13.85;900;0.801;3.792;10.авг;98.2;0.96;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;700.6
